"Open source software (OSS) communities are dependent on the code contributions of developers who, in many cases, never meet face-to-face and collaborate primarily through technology-enabled means. With their fluid membership, such communities often rely on engaging the commitment of developers to their cause. Given the changing nature of OSS communities, developers face barriers in appreciating appropriate ways of contributing to the collaborative effort. Such uncertainty about how to contribute results in OSS communities losing developers as they devote their attention to other, more welcoming, communities. In this research, we draw upon uncertainty reduction theory to argue that developers have two alternative avenues at their disposal to gain certainty about how to contribute: passive and interactive. Leveraging the person-environment fit perspective, we argue that congruence and incongruence in the OSS values of a developer and an OSS community serve as an avenue for passive approaches to gaining certainty, to the degree that appropriate ways of contributing are encoded in these values. Further, leveraging social network theory, we argue that centrality within a community's communication network constitutes an avenue for interactive approaches for gaining certainty about how to contribute. Using polynomial regression analysis, we analyze survey and archival data from 410 developers in an OSS community. Results suggest that developer centrality moderates the impact of congruence and incongruence in OSS values on commitment. Moreover, commitment fully mediates the impact of OSS value congruence and incongruence on developer contribution activity. We discuss the implications of our findings for research and practice."	zzvovshqj5	"DEVELOPER CENTRALITY AND THE IMPACT OF VALUE CONGRUENCE AND INCONGRUENCE ON COMMITMENT AND CODE CONTRIBUTION ACTIVITY IN OPEN SOURCE SOFTWARE COMMUNITIES."
"This paper examines the role of parenting behaviors in influencing children's Internet addiction and the consequences of children's Internet addiction on parents' job outcomes. First, we draw on attachment theory to theorize that five parenting behaviors (i.e., parental control, monitoring, unstructured time, dissuasion, and rationalization) affect children's Internet addiction and their effects are moderated by the children's views of parent-child attachment. Second, we draw on research on the work-family interface to theorize that children's Internet addiction affects parents' job outcomes (i.e., job satisfaction, organizational commitment, and work exhaustion) and the effects are mediated by family-to-work conflict. We tested our hypotheses using an integrated research approach that includes quantitative and qualitative data. We conducted an online survey to collect quantitative responses from 776 parent-child dyads. The results of our model showed that the effects of parenting behaviors on children's Internet addiction, except for dissuasion, were moderated by the children's views of parent-child attachment. Also, family-to-work conflict mediated the effects of children's Internet addiction on parents' job satisfaction, organizational commitment, and work exhaustion. We collected qualitative data via interviews from 50 parents to cross-validate the results from the quantitative study."	fgpwisbqyr	"CHILDREN'S INTERNET ADDICTION, FAMILY-TO-WORK CONFLICT, AND JOB OUTCOMES: A STUDY OF PARENT-CHILD DYADS."
"Regulatory focus theory (RFT) has been regarded as an important theory for understanding customer behavior in e-commerce; however, there is a significant gap between theoretical analysis with RFT and its practical applications. In particular, there is little research on how to identify the chronic regulatory focus of customers; as such, it is difficult to apply RFT in e-commerce operations. To fill this research gap, we propose an innovative method to operationalize customer regulatory focus from the affective dimension, leading to operationalized regulatory focus (ORF). In this regard, our study spearheads a new avenue of research on how social theories can be operationalized and applied in e-commerce operations. We first identify customers' chronic regulatory focus (i.e., promotion focus or prevention focus) based on online review data using text mining, leading to an innovative method we refer to as \"regulatory focus discovery.\" Then, we validate the computed results on regulatory focus by surveying corresponding customers included in the same dataset. Finally, we evaluate the applicability of ORF via an econometric analysis. In this article, we demonstrate that it is possible to compute regulatory focus of specific customers for the purpose of assessing their purchasing tendency. The theoretical and practical implications of ORF are discussed."	h7keggdy4v	"OPERATIONALIZING REGULATORY FOCUS IN THE DIGITAL AGE: EVIDENCE FROM AN E-COMMERCE CONTEXT."
"This study investigates employee behavior of unauthorized access attempts on information systems (IS) applications in a financial institution and examines how opportunity contexts facilitate such behavior. By contextualizing multilevel criminal opportunity theory, we develop a model that considers both employee- and department-level opportunity contexts. At the employee level, we hypothesize that the scope and data value of the applications that an employee has legitimately accessed, together with the time when and location where the employee initiates access, affect the likelihood of the employee making unauthorized access attempts. At the department level, we hypothesize that department size moderates the impact of employee-level contextual variables on the likelihood of an employee making unauthorized attempts. To test these hypotheses, we collected six months of access log data from an enterprise single sign-on system of a financial institution. We find the hypothesized main effects of all employee-level contextual variables and department size are supported. In addition, department size reinforces the effects of data value, off-hour access, off-site access, and their interaction term, except for that of scope, on the outcome <mark>variable</mark>. Robustness analyses indicate that the proposed model does not align with those employees who might not know the systems well enough or who might make honest mistakes. We also discuss the theoretical and practical implications of the study."	qzokn4wbrn	"A LONGITUDINAL STUDY OF UNAUTHORIZED ACCESS ATTEMPTS ON INFORMATION SYSTEMS: THE ROLE OF OPPORTUNITY CONTEXTS."
"The alignment between a firm’s business and information technology (IT) strategies continues to be important for research and practice. Prior research investigating the performance consequences of strategic IT alignment (SITA) has produced inconsistent results. This paper distinguishes between two roles of SITA: (1) as a state of congruence between business and IT, which is the primary focus of empirical studies, and (2) as reflecting a capability that may enable or inhibit the leveraging of IT investments, as has been discussed theoretically but not examined empirically. Based on the resource-based view (RBV), IT investment (ITI) is explicitly included as the resource that SITA as a capability can inherently help leverage. Also based on RBV, we argue that environmental uncertainty, which is examined in terms of dynamism, complexity, and munificence, moderates the effect of SITA on the relationship between ITI and firm performance. The research model is tested through panel-data analyses of data from 1999–2008, including 758 firm-year observations from 242 firms. This study is the first to find that SITA as a state directly improves firm performance even when considering ITI and its interaction with SITA. Moreover, the effect of the interaction between SITA and ITI on firm performance increases with an increase in environmental dynamism or complexity and with a decrease in environmental munificence. We also find that the effect of the interaction between SITA and ITI can be negative under some environments. Specifically, the results suggest that (1) in dynamic, complex, and hostile environments, SITA does reflect a capability that enhances the positive effect of ITI on firm performance, but (2) in stable, simple, and munificent environments, SITA reflects a rigidity that reduces the positive effect of ITI on firm performance. The results are robust under a variety of statistical specifications and estimations."	ng7qiyzysj	"HOW DOES STRATEGIC ALIGNMENT AFFECT FIRM PERFORMANCE? THE ROLES OF INFORMATION TECHNOLOGY INVESTMENT AND ENVIRONMENTAL UNCERTAINTY."
"The bursts and multiplicity of Internet advertising have made multichannel attribution an immediate challenge for marketing practitioners. Existing attribution models predominantly focus on analyzing consumers’ conversion paths with respect to one focal firm while largely overlooking the impact of their interactions with competing firms, leading to biased estimates of advertising effectiveness. We address this problem by developing an integrated individual-level choice model that considers consumers’ online visit and purchase decisions across all competitors within one industry. We specifically analyze the effects of multichannel advertising on (1) consumer choice of entry site, (2) consumer search decisions concerning the remaining competing websites, and (3) subsequent purchase at one of the searched websites. We quantify the impact of different digital advertising channels on consumers’ decisions at different purchase funnel stages based on individual-level click stream data from the online air ticket booking industry. We find that information stock of all online channels considered—search, display/referral, email, direct—contributes significantly to consumers’ visit and purchase decisions, among which search is the most effective advertising channel in driving all three decisions. We map the estimates to the conversion attribution of different channels. The result reveals that the relative contribution of the display/referral channel was underestimated under the popular single-firm attribution models by a factor of two on average. In terms of predictive performance, our model consistently outperforms the single-firm model in predicting the occurrences of future purchases."	2jvfflntlv	"MODELING MULTICHANNEL ADVERTISING ATTRIBUTION ACROSS COMPETITORS."
"As of 2007, an estimated 62% of individual bankruptcy filings in the United States were a direct result of costs borne from medical treatment following illness or injury, up from 46% in 2001. This pressing issue is only getting worse and is in need of relief. In this work, we consider the potential of a relatively recent, and rapidly growing, phenomenon to mitigate the problem: online crowdfunding for medical expenses, wherein patients reach out to their social network for monetary support via online platforms that facilitate the process. On the surface, medical crowdfunding holds the potential to address insurance gaps and to help those burdened by medical debt. However, recent questions have arisen in the healthcare literature around fairness and equity in the distribution of funds. Consistent with the notion of digital divide, many have raised concerns that the individuals most likely to benefit from these services are not the individuals who are most in need. Accordingly, we first seek to establish the effect of this novel phenomenon on a key indicator of financial distress: rates of personal bankruptcy. We then explore heterogeneity in patterns of funding solicitation and acquisition, to assess the presence inequalities across patient populations. We leverage proprietary data from a large medical crowdfunding platform based in the United States, which we combine with county records of personal bankruptcy filings. We report evidence that greater success amongst medical crowdfunding campaigns does translate into a reduction in personal bankruptcy filings. Subsequently, we report analyses which revealed evidence consistent with the presence of a digital divide. Specifically, we report evidence that disadvantaged groups are systematically more likely to launch medical crowdfunding campaigns, yet conditional on campaign launch, garner systematically less in funding. We discuss the implications for the literature on the digital divide, as well as implications for practice and policy."	bcasdj4bdz	"INVESTIGATING THE RELATIONSHIP BETWEEN MEDICAL CROWDFUNDING AND PERSONAL BANKRUPTCY IN THE UNITED STATES: EVIDENCE OF A DIGITAL DIVIDE."
"Crowdsourcing contests are contests by which organizations tap into the wisdom of crowds by outsourcing tasks to large groups of people on the Internet. In an online environment often characterized by anonymity and lack of trust, there are inherent uncertainties for participants of such contests. This study focuses on crowdsourcing contests with winner-take-all prizes. During these contests, submissions are made sequentially and contest hosts can provide public in-process feedback to the submissions as soon as they are received. Drawing on the uncertainty literature, we examine how the use of prize guarantees (guaranteeing that a winner will be picked and paid) and in-process feedback (numeric ratings to individual designs and public textual comments during the contest) can help attract more submissions by influencing the various uncertainties faced by the contestants. We find that guaranteeing the prize increases submissions. The volume of in-process feedback (both numeric reviews and textual comments) has a positive effect on the number of submissions, and such an effect is bigger in contests without prize guarantees. In addition, providing highly positive or extremely negative feedback discourages overall future submissions, and the negative effect of highly positive feedback is mitigated in guaranteed contests."	ubozohyp2b	"MANAGING THE CROWDS: THE EFFECT OF PRIZE GUARANTEES AND IN-PROCESS FEEDBACK ON PARTICIPATION IN CROWDSOURCING CONTESTS."
"Online hacker forums offer a prominent avenue for sharing hacking knowledge. Using a field dataset culled from multiple sources, we find that online discussion of distributed denial of service (DDOS) attacks in hackforums.net decreases the number of DDOS-attack victims. A 1% increase in discussion decreases DDOS attacks by 0.032% to 0.122%. This means that two DDOS-attack posts per day could reduce the number of victims by 700 to 2,600 per day. We find that discussion topics with similar keywords can variously increase or decrease DDOS attacks, meaning we cannot ascertain the impact of the discussion just by the post nature. Mentioning botnets, especially new botnets, increases the attacks, but the follow-up discussion decreases the attacks. Our results suggest that online-hacker-forum discussion may exhibit the dual-use characteristic. That is, it can be used for both good and bad purposes. We draw related managerial implications."	psv23r5qs5	"SEE NO EVIL, HEAR NO EVIL? DISSECTING THE IMPACT OF ONLINE HACKER FORUMS."
"The proliferation of smartphones and other mobile devices has led to numerous companies investing significant resources in developing mobile applications, in every imaginable domain. As apps proliferate, understanding the impact of app adoption on key outcomes of interest and linking this understanding to the underlying mechanisms that drive these results is imperative. In this paper, we explore the changes in user behavior induced by adoption of a mobile application, in terms of engagement and matching outcomes in the online dating context. We also identify three mechanisms that are somewhat unique to the mobile environment, but are hitherto unestablished in the literature, that drive this shift in behavior: ubiquity, impulsivity, and disinhibition. Our main identification strategy uses propensity score matching combined with difference-in-differences, coupled with a rigorous falsification test to confirm the validity of our identification strategy. Our results demonstrate that mobile app adoption induces users to become more socially engaged as measured by key engagement metrics such as visiting significantly more profiles, sending significantly more messages, and importantly, achieving more matches. We also discover various mechanisms facilitating this increased engagement: ubiquity of mobile use—users log in more, and login across a wider range of hours in the day. We find that men act more impulsively, in that they are less likely to check the profile of a user who messaged them before replying to them. This effect is not visible for women who continue to be deliberate in their checking before replying even after adoption of the mobile app. Finally, we find that both men and women exhibit disinhibition, in that users initiate actions to a more diverse set of potential partners than they did before on dimensions of race, education, and height."	dgrwgocd4n	"LOVE UNSHACKLED: IDENTIFYING THE EFFECT OF MOBILE APP ADOPTION IN ONLINE DATING."
"This study examines the predictive power of self-disclosed social media <mark>information</mark> on borrowers’ default in peer-to-peer (P2P) lending and identifies social deterrence as a new underlying mechanism that explains the predictive power. Using a unique data set that combines loan data from a large P2P lending platform with social media presence data from a popular social media site, borrowers’ self-disclosure of their social media account and their social media activities are shown to predict borrowers’ default probability. Leveraging a social media marketing campaign that increases the credibility of the P2P platform and lenders disclosing loan default <mark>information</mark> on borrowers’ social media accounts as a natural experiment, a difference-in-differences analysis finds a significant decrease in loan default rate and increase in default repayment probability after the event, indicating that borrowers are deterred by potential social stigma. The results suggest that borrowers’ social <mark>information</mark> can be used not only for credit screening but also for default reduction and debt collection."	kquc7eh2on	"Predicting and Deterring Default with Social Media <mark>Information</mark> in Peer-to-Peer Lending."
"This article studies the strategic network formation in a location-based social network. We build an empirical model of social link creation that incorporates individual characteristics and pairwise user similarities. Specifically, we define four user proximity measures from biography, geography, mobility, and short messages. To construct proximity from unstructured text <mark>information</mark>, we build topic models using Latent Dirichlet Allocation. Using Gowalla data with 385,306 users, 3 million locations, and 35 million check-in records, we empirically estimate the model to find evidence on the homophily effect on network formation. To cope with possible endogeneity issues, we use exogenous weather shocks as our <mark>instrumental</mark> variables and find the empirical results are robust: network formation decisions are significantly affected by our proximity measures."	ve4oywp7s5	"A Friend Like Me: Modeling Network Formation in a Location-Based Social Network."
"Despite the increasing relevance of online social interactions on platforms, there is still little research on the temporal interaction dynamics between electronic word-of-mouth (eWOM, a form of opinion-based social interaction), popularity <mark>information</mark> (a form of action-based social interaction), and consumer decision making. Drawing on a panel data set of more than 23,300 crowdfunding campaigns from Indiegogo, we investigate the dynamic effects of these social interactions on consumers’ funding decisions using the panel vector autoregressive methodology. Our analysis shows that both eWOM and popularity <mark>information</mark> are critical influencing mechanisms in crowdfunding. However, our overarching finding is that eWOM surrounding crowdfunding campaigns on Indiegogo or Facebook has a significant yet substantially weaker predictive power than popularity <mark>information</mark>. We also find that whereas popularity <mark>information</mark> has a more immediate effect on consumers’ funding behavior, its effectiveness decays rather quickly, while the impact of eWOM recedes more slowly. This study contributes to the extant literature by (1) providing a more nuanced understanding of the dynamic effects of opinion-based and action-based social interactions, (2) unraveling both within-platform and cross-platform dynamics, and (3) showing that social interactions are perceived as quality indicators on crowdfunding platforms that help consumers reduce risks associated with their investment decisions. These results can help platform providers and complementors to stimulate contribution behavior and increase the prosperity of a platform."	7c2jci4rxj	"Effects of Social Interaction Dynamics on Platforms."
"We analyze the alignment between <mark>information</mark> processing needs and capacities. First, we explore the relationship between firms’ vertical and horizontal boundaries and <mark>information</mark> technology (IT) capabilities. The literature postulates that less internalization leads firms to invest more in <mark>information</mark> technology. However, we argue that the use of taper integration and diversification increases the demand for IT-based resources such as IT infrastructure and IT human resources. Second, we propose that the fit between <mark>information</mark> processing needs and capacity has a positive effect on performance. Our hypotheses are tested on a panel of Spanish manufacturing firms, and the results provide general support for our arguments. One advantage of the data is that they include not only large firms but also small and medium-size manufacturers. From a theoretical perspective, the study contributes to the literature by providing novel insights on how decisions on the vertical dimension condition investments in IT capabilities. It also adds new evidence on the diversification–IT capabilities relationship and studies the consequences of alignment of corporate strategies and IT capabilities on firm performance. From a managerial perspective, our study suggests that changes in the vertical and horizontal limits should be followed by changes in IT capabilities to improve performance."	4ikdditx4f	"Firm Boundaries, <mark>Information</mark> Processing Capacity, and Performance in Manufacturing Firms."
"Motivated by the rise of social media platforms that achieve a fusion of content and community, we consider the role of word-of-mouth communications (WOM) structured through a network. Using a data set from YouTube, we examine how cascades of WOM interactions enhance the popularity of videos. We first estimate the impact of channel influence and other network parameters in initiating WOM communications. The probit estimation considers the selection effect in videos that are likely to be associated with a greater propensity to trigger WOM. We find that factors related to a channel’s ability to be a connector and a translator is most likely to result in the incidence of WOM. We then examine how cascades of WOM conversations have persistent impacts on subsequent video popularity. Empirically, the main issue here is heterogeneity in the epidemic potential of a video. Since the threshold might vary across videos, we use a finite mixture model. We also conduct a simultaneous estimation using latent <mark>instrumental</mark> variables to address endogeneity from unobservables. Our research has implications for researchers and practitioners by highlighting how WOM travels through networks of influence and susceptibility in disseminating awareness, and holds insights in regard to designing social recommendation <mark>systems</mark> and identifying trending topics in social media."	tza4taf66z	"Influentials, Imitables, or Susceptibles? Virality and Word-of-Mouth Conversations in Online Social Networks."
"It is by now almost accepted as a stylized fact that offering deal promotion (such as via Groupon or LivingSocial) deteriorates local merchants’ online reputations (e.g., the average of Yelp review ratings). However, in this paper we show that the stylized fact is not true in certain circumstances. We theorize that the valence and volume of prior reviews can play an important moderating role in the effect of deal promotion. Empirically, we show that restaurants with a relatively low prior average rating and a relatively small review volume have improved their online reputations by offering Groupon promotion. The proportion of such restaurants is substantial. The findings are robust to multiple identification strategies and econometric specifications. The results underscore the substantial heterogeneity in the effect of deal promotion on local merchants’ online reputations. Merchants need to understand the moderating role of prior reviews (e.g., the valence and volume of prior reviews) and design appropriate strategies to maximize the returns from offering deal promotion."	ijwy5lyjbr	"Could Deal Promotion Improve Merchants’ Online Reputations? The Moderating Role of Prior Reviews."
"We explore the issue of seller differentiation in competitive auction environments, where most sellers have a high percentage of positive feedback. Analyzing a set of eBay auction listings for identical products, we find evidence that the use of visibility-enhancing and quality-signaling discretionary auction attributes affects auction outcomes throughout the auction process (i.e., listing views, bids, and price premiums). We also find strong evidence that the number of reputable sellers in an auction marketplace moderates the effects of these discretionary attributes on auction outcomes. Specifically, as auction environments become more competitive, these attributes become more effective tools for differentiation, whereas seller feedback scores become less effective. Furthermore, sellers appear to select their strategies for employing these discretionary attributes based on both their prior experience and the number of experienced reputable sellers in the market. These findings suggest that in addition to relying on feedback scores, online sellers must take a more strategic approach in the selection of discretionary attributes in their auction listings."	c7d4eq572n	"Seller Strategies for Differentiation in Highly Competitive Online Auction Markets."
"Modern online retailing practices provide consumers with new types of real-time information that can potentially increase demand. In particular, showing sales information to a customer can increase certainty about product quality, inducing consumers to herd. This effect can be particularly salient for experience goods due to their quality being inherently highly uncertain. Social media word-of-mouth (WOM) can increase product awareness as product information spreads via social media, increasing demand directly while amplifying existing quality signals such as past sales. This study examines the mechanisms behind the strategy of facilitating herding and the strategy of integrating social media platforms to understand the potential complementarities between the two strategies. We conduct empirical analysis using data from Groupon.com, which sells goods in a fast cycle format of \"daily deals.\" We find that facilitating herding and integrating social media platforms are complements that generate sales, supporting the idea that it is beneficial to combine the two strategies on social media platforms. Furthermore, we find that herding is more salient for experience goods, consistent with our hypothesized mechanisms, while the effect of social media WOM is similar for experience goods and search goods."	lf4ava7pfj	"HERDING AND SOCIAL MEDIA WORD-OF-MOUTH: EVIDENCE FROM GROUPON."
"This paper examines how (1) a crowdfunding campaign's prosociality (the production of a public versus private good), (2) the social network structure (embeddedness) among individuals advocating for the campaign on social media, and (3) the volume of social media activity around a campaign jointly determine fundraising from the crowd. Integrating the emerging literature on social media and crowdfunding with the literature on social networks and public goods, we theorize that prosocially, public-oriented crowdfunding campaigns will benefit disproportionately from social media activity when advocates' social media networks exhibit greater levels of embeddedness. Drawing on a panel dataset that combines campaign fundraising activity associated with more than 1,000 campaigns on Kickstarter with campaign-related social media activity on Twitter, we construct network-level measures of embeddedness between and amongst individuals initiating the latter, in terms of transitivity and topological overlap. We demonstrate that Twitter activity drives a disproportionate increase in fundraising for prosocially oriented crowdfunding campaigns when posting users' networks exhibit greater embeddedness. We discuss the theoretical implications of our findings, highlighting how our work extends prior research on the role of embeddedness in peer influence by demonstrating the joint roles of message features and network structure in the peer influence process. Our work suggests that when a transmitter's message is prosocial or cause-oriented, embeddedness will play a stronger role in determining influence. We also discuss the broader theoretical implications for the literatures on social media, crowdfunding, crowdsourcing, and private contributions to public goods. Finally, we highlight the practical implications for marketers, campaign organizers, and crowdfunding platform operators."	dyp2r44tcf	"EMBEDDEDNESS, PROSOCIALITY, AND SOCIAL INFLUENCE: EVIDENCE FROM ONLINE CROWDFUNDING."
"The diffusion of new information technology (IT) requires the development of an ecosystem of hardware and software producers, users, and other firms. It is widely believed that venture capitalists (VCs) can play a role in the development of such ecosystems. However, empirical research to elaborate on these points is lacking. Focusing on the recent rapid rise of one platform, cloud computing, we assemble a unique dataset to look at the period just before wide acceptance of the cloud. We find evidence of complementarity between VC financing and the introduction of new products offered over the cloud. Moreover, the complementarity effects are significantly stronger for firms backed by VCs that had rich experience in the IT industry and are significantly weaker for firms that had prior experience developing traditional client/server products. These results provide evidence that supports a role for VC financing in the creation of new technological ecosystems."	f5pkjnxipj	"THE ROLE OF VENTURE CAPITAL IN THE FORMATION OF A NEW TECHNOLOGICAL ECOSYSTEM: EVIDENCE FROM THE CLOUD."
