,,,,,,,Text,Contains_Relation
"""In comparison to the case where there is no social learning, we show that (i) when the uncertainty is relatively low, the firm opts for a product of inferior design accompanied by a lower price, while (ii) when the uncertainty is high, the firm chooses a product of superior design accompanied by a higher price; interestingly, we find that the product‚ôs expected quality decreases either in the absolute sense (in the former case), or relative to the product‚ôs price (in the latter case).""",,,,,,,"""In comparison to the case where there is no social learning, we show that (i) when the uncertainty is relatively low, the firm opts for a product of inferior design accompanied by a lower price, while (ii) when the uncertainty is high, the firm chooses a product of superior design accompanied by a higher price; interestingly, we find that the product‚ôs expected quality decreases either in the absolute sense (in the former case), or relative to the product‚ôs price (in the latter case).""",1
"""One explanation is that IS spending may lead to increases in product quality or variety which tend to be overlooked in the aggregate statistics, even if they increase output at the firm-level.""",,,,,,,"""One explanation is that IS spending may lead to increases in product quality or variety which tend to be overlooked in the aggregate statistics, even if they increase output at the firm-level.""",1
"""Whereas most of these characteristics predict proxy contests in time series, prior to proxy contests, targets also experience poor stock performance, decreases in investments, increases in cash reserves and payouts to shareholders, and increases in management‚ôs entrenchment.""",,,,,,,"""Whereas most of these characteristics predict proxy contests in time series, prior to proxy contests, targets also experience poor stock performance, decreases in investments, increases in cash reserves and payouts to shareholders, and increases in management‚ôs entrenchment.""",1
"""Instead, we provide evidence that expanding the menu of choices or making an agent aware of choices that she has been denied can affect how a contract is valued.""",,,,,,,"""Instead, we provide evidence that expanding the menu of choices or making an agent aware of choices that she has been denied can affect how a contract is valued.""",1
"""On the other hand, long production runs increase the average makespan (time to completion) of coils.""",,,,,,,"""On the other hand, long production runs increase the average makespan (time to completion) of coils.""",1
"""A natural idea, which should intuitively increase the provider‚ôs profit, is to sell these idle instances on a secondary market, for example, via a preemptible spot market.""",,,,,,,"""A natural idea, which should intuitively increase the provider‚ôs profit, is to sell these idle instances on a secondary market, for example, via a preemptible spot market.""",1
"""This is because contractually specified incentives inevitably have conflicting effects: they simultaneously increase the likelihood of welfare-improving investments and welfare-reducing opportunistic behavior.""",,,,,,,"""This is because contractually specified incentives inevitably have conflicting effects: they simultaneously increase the likelihood of welfare-improving investments and welfare-reducing opportunistic behavior.""",1
"""Our experiment results in an increase in loan repayments in the sample period.""",,,,,,,"""Our experiment results in an increase in loan repayments in the sample period.""",1
"""Using prior expectations about price and response time, we show how shopbots can substantially increase consumer utility by searching more intelligently and then selectively presenting offers.""",,,,,,,"""Using prior expectations about price and response time, we show how shopbots can substantially increase consumer utility by searching more intelligently and then selectively presenting offers.""",1
"""Consequently, the incentives for providers to improve service quality may disappear if providers upcode, i.e., misreport HAIs (possibly unintentionally) in a manner that increases reimbursement or avoids financial penalties.""",,,,,,,"""Consequently, the incentives for providers to improve service quality may disappear if providers upcode, i.e., misreport HAIs (possibly unintentionally) in a manner that increases reimbursement or avoids financial penalties.""",1
"""We also exploit a feature of structured finance that identifies rating shopping and find that incumbent ratings increase in shopping.""",,,,,,,"""We also exploit a feature of structured finance that identifies rating shopping and find that incumbent ratings increase in shopping.""",1
"""It extends some of Bellman's work in that the transformed states at successive stages may not have the properties demanded by Bellman; e.g., the state norm need not diminish at all, and can, in fact, increase.""",,,,,,,"""It extends some of Bellman's work in that the transformed states at successive stages may not have the properties demanded by Bellman; e.g., the state norm need not diminish at all, and can, in fact, increase.""",1
"""In particular, we find that, contrary to the conventional war of attrition where an increase in benefits for the follower generally delays the first move, an increase in the rate of learning‚îwhich tends to benefit the follower‚îcan hasten the first investment.""",,,,,,,"""In particular, we find that, contrary to the conventional war of attrition where an increase in benefits for the follower generally delays the first move, an increase in the rate of learning‚îwhich tends to benefit the follower‚îcan hasten the first investment.""",1
"""Results from six laboratory studies and a field experiment demonstrate that exposure to messages that praise customers for good deeds can increase subsequent self-interested and self-indulgent behaviors more than messages that publicize a company‚ôs good deeds or thank consumers for their patronage.""",,,,,,,"""Results from six laboratory studies and a field experiment demonstrate that exposure to messages that praise customers for good deeds can increase subsequent self-interested and self-indulgent behaviors more than messages that publicize a company‚ôs good deeds or thank consumers for their patronage.""",1
"""Furthermore, that increase is driven by both the operator and the service provider.""",,,,,,,"""Furthermore, that increase is driven by both the operator and the service provider.""",1
"""If consumers‚ô values to subsequent goods decrease quickly, we show by example that one should expect bundling to be suboptimal.""",,,,,,,"""If consumers‚ô values to subsequent goods decrease quickly, we show by example that one should expect bundling to be suboptimal.""",1
"""For example, the U.S. Government's policy of revealing losing bids may cause regret-sensitive bidders to anticipate regret and bid conservatively, decreasing the government's revenue.""",,,,,,,"""For example, the U.S. Government's policy of revealing losing bids may cause regret-sensitive bidders to anticipate regret and bid conservatively, decreasing the government's revenue.""",1
"""In the single-period problem, random capacity does not affect the optimal policy but results in a unimodal, nonconvex cost function.""",,,,,,,"""In the single-period problem, random capacity does not affect the optimal policy but results in a unimodal, nonconvex cost function.""",1
"""We find that ETF activity increases short-run informational efficiency for stocks with weak information environments.""",,,,,,,"""We find that ETF activity increases short-run informational efficiency for stocks with weak information environments.""",1
"""The model also predicts that sorting under asymmetric information causes the firm to turn away more candidates than would be efficient; PPS increases in the cost of hiring the manager and in the manager's outside option, but decreases in output risk, information risk, and managerial risk aversion; and the firm becomes more selective in hiring as either the manager's outside option, the cost of hiring, risk aversion, output risk, or information risk increases.""",,,,,,,"""The model also predicts that sorting under asymmetric information causes the firm to turn away more candidates than would be efficient; PPS increases in the cost of hiring the manager and in the manager's outside option, but decreases in output risk, information risk, and managerial risk aversion; and the firm becomes more selective in hiring as either the manager's outside option, the cost of hiring, risk aversion, output risk, or information risk increases.""",1
"""We find that both features of sponsorship significantly increase willingness to compete among men on average, while neither of these channels significantly increases willingness to compete among women on average.""",,,,,,,"""We find that both features of sponsorship significantly increase willingness to compete among men on average, while neither of these channels significantly increases willingness to compete among women on average.""",1
"""When manufacturers do not have sufficient capacity to meet demand and cannot increase prices, they have to determine other methods to allocate goods among retailers.""",,,,,,,"""When manufacturers do not have sufficient capacity to meet demand and cannot increase prices, they have to determine other methods to allocate goods among retailers.""",1
"""The relative accuracy of C-MSKF increases with decreasing length of historical time series data, increasing forecasting horizon, and sensitivity of school districts to the economic cycle.""",,,,,,,"""The relative accuracy of C-MSKF increases with decreasing length of historical time series data, increasing forecasting horizon, and sensitivity of school districts to the economic cycle.""",1
"""Each job to be processed incurs a loss which increases linearly with its waiting time.""",,,,,,,"""Each job to be processed incurs a loss which increases linearly with its waiting time.""",1
"""Furthermore, for ‚úvery high‚ù search levels, even the system profit (sum of manufacturer and retailer profits) may decrease upon centralization.""",,,,,,,"""Furthermore, for ‚úvery high‚ù search levels, even the system profit (sum of manufacturer and retailer profits) may decrease upon centralization.""",1
"""First, we find that both accommodating line-sitting and selling priority can bring in extra revenue for the service provider, although by different means‚îselling priority increases revenue mainly by allowing the service provider to practice price discrimination that extracts more customer surplus, whereas line-sitting does so through demand expansion, attracting customers who would not otherwise join.""",,,,,,,"""First, we find that both accommodating line-sitting and selling priority can bring in extra revenue for the service provider, although by different means‚îselling priority increases revenue mainly by allowing the service provider to practice price discrimination that extracts more customer surplus, whereas line-sitting does so through demand expansion, attracting customers who would not otherwise join.""",1
"""Computational results show that the best among the frequency-based direct shipping policies used to obtain the worst-case results gives an average percent increase error, with respect to a lower bound on the optimal cost of the problem in which routing is allowed, of 6.44% on a large set of randomly generated problem instances.""",,,,,,,"""Computational results show that the best among the frequency-based direct shipping policies used to obtain the worst-case results gives an average percent increase error, with respect to a lower bound on the optimal cost of the problem in which routing is allowed, of 6.44% on a large set of randomly generated problem instances.""",1
"""With a data set consisting of automobile sales transaction data from a major U.S. automaker, the authors find a 20% improvement in prediction accuracy over state-of-the-art benchmark models, which can result in a 10% increase in revenues from optimizing the offer set.""",,,,,,,"""With a data set consisting of automobile sales transaction data from a major U.S. automaker, the authors find a 20% improvement in prediction accuracy over state-of-the-art benchmark models, which can result in a 10% increase in revenues from optimizing the offer set.""",1
"""Counter-intuitive examples where reducing switchover time can increase WIP are also reported.""",,,,,,,"""Counter-intuitive examples where reducing switchover time can increase WIP are also reported.""",1
"""We also find that increased automation improves the ratings on clinical quality by 6.9% and decreases admissions of less profitable residents by 14.7% on average.""",,,,,,,"""We also find that increased automation improves the ratings on clinical quality by 6.9% and decreases admissions of less profitable residents by 14.7% on average.""",1
"""Consistent with the developed theory, shifting to a temporally frequent quota structure leads to an increase in sales performance for low-performing salespeople by preventing them from giving up in later periods within a quota-evaluation cycle, but to a decrease in sales performance for high-performing salespeople.""",,,,,,,"""Consistent with the developed theory, shifting to a temporally frequent quota structure leads to an increase in sales performance for low-performing salespeople by preventing them from giving up in later periods within a quota-evaluation cycle, but to a decrease in sales performance for high-performing salespeople.""",1
"""It is commonly held that the ‚úMatthew Effect‚ù dominates‚îwider distribution of rewards increases the overall welfare of the contest.""",,,,,,,"""It is commonly held that the ‚úMatthew Effect‚ù dominates‚îwider distribution of rewards increases the overall welfare of the contest.""",1
"""Prior work suggests that an increase in patient volume in a hospital service is associated with reduced costs per patient in that service.""",,,,,,,"""Prior work suggests that an increase in patient volume in a hospital service is associated with reduced costs per patient in that service.""",1
"""We find that the content submission significantly increases engagement and retention by reducing users‚ô hazard of ending a session by approximately 11% relative to the baseline and reducing the hazard of abandoning the game app by 14%.""",,,,,,,"""We find that the content submission significantly increases engagement and retention by reducing users‚ô hazard of ending a session by approximately 11% relative to the baseline and reducing the hazard of abandoning the game app by 14%.""",1
"""Although orginally developed to allocate budget increases, the model may be used in allocating budget cuts as well; this form of the model is also presented.""",,,,,,,"""Although orginally developed to allocate budget increases, the model may be used in allocating budget cuts as well; this form of the model is also presented.""",1
"""Finally, we examine the efficiency of these procedures and show that as the degree of common values increases, fewer mutually beneficial agreements are attained.""",,,,,,,"""Finally, we examine the efficiency of these procedures and show that as the degree of common values increases, fewer mutually beneficial agreements are attained.""",1
"""In this supply chain, a horizontal merger at any other tier will decrease consumer price when the cost reduction exceeds a certain threshold that is larger than the premerger markup.""",,,,,,,"""In this supply chain, a horizontal merger at any other tier will decrease consumer price when the cost reduction exceeds a certain threshold that is larger than the premerger markup.""",1
"""Overall, our experiments offer little evidence that gender composition affects expression of minority views.""",,,,,,,"""Overall, our experiments offer little evidence that gender composition affects expression of minority views.""",1
"""Results indicate good performance which deteriorates as the fill rate requirement and lead time increase.""",,,,,,,"""Results indicate good performance which deteriorates as the fill rate requirement and lead time increase.""",1
"""To increase revenue or improve customer service, companies are increasingly personalizing their product or service offerings based on their customers' history of interactions.""",,,,,,,"""To increase revenue or improve customer service, companies are increasingly personalizing their product or service offerings based on their customers' history of interactions.""",1
"""In this note, we point out that a similar formula holds if the requirements increase up to a certain value, then decrease.""",,,,,,,"""In this note, we point out that a similar formula holds if the requirements increase up to a certain value, then decrease.""",1
"""In a study of the global semiconductor industry, the authors find that, in addition to serving as a mechanism for sourcing knowledge, strong internal linkages help firms increase internalization and create higher levels of technological interdependence across firm locations.""",,,,,,,"""In a study of the global semiconductor industry, the authors find that, in addition to serving as a mechanism for sourcing knowledge, strong internal linkages help firms increase internalization and create higher levels of technological interdependence across firm locations.""",1
"""The cost of increasing production from one period to the next is a concave function of the increase; similarly, the cost of decreasing production is a concave function of the decrease.""",,,,,,,"""The cost of increasing production from one period to the next is a concave function of the increase; similarly, the cost of decreasing production is a concave function of the decrease.""",1
"""The resulting reduction in borrowing capacity affects significantly both investment and employment: for firms whose effective capital requirements increase by 1 percentage point, fixed assets are reduced by 1.1%, capital expenditures by 2.7%, and employment by 0.8%.""",,,,,,,"""The resulting reduction in borrowing capacity affects significantly both investment and employment: for firms whose effective capital requirements increase by 1 percentage point, fixed assets are reduced by 1.1%, capital expenditures by 2.7%, and employment by 0.8%.""",1
"""Effect of Information Feedback on Bidder Behavior in Continuous Combinatorial Auctions (p. 811)Gediminas Adomavicius, Shawn P. Curley, Alok Gupta, Pallab SanyalRecent theoretical advances have shown that combinatorial auctions‚îin which bidders can bid on combinations of goods, can increase the economic efficiency of a trade when goods have complementarities.""",,,,,,,"""Effect of Information Feedback on Bidder Behavior in Continuous Combinatorial Auctions (p. 811)Gediminas Adomavicius, Shawn P. Curley, Alok Gupta, Pallab SanyalRecent theoretical advances have shown that combinatorial auctions‚îin which bidders can bid on combinations of goods, can increase the economic efficiency of a trade when goods have complementarities.""",1
"""This underestimation stabilizes over time because negative consequences decrease the likelihood of choosing the law-of-effect strategy in the future.""",,,,,,,"""This underestimation stabilizes over time because negative consequences decrease the likelihood of choosing the law-of-effect strategy in the future.""",1
"""Clearly, what you search for is being used as information; advertisers use online customer data to target their marketing and increase its effectiveness.""",,,,,,,"""Clearly, what you search for is being used as information; advertisers use online customer data to target their marketing and increase its effectiveness.""",1
"""Despite the increase in state space from the use of ‚úconverse‚ù functions, we show that the computational burden of the algorithm does not increase.""",,,,,,,"""Despite the increase in state space from the use of ‚úconverse‚ù functions, we show that the computational burden of the algorithm does not increase.""",1
"""The dramatic increase in the arrivals of potential detainees since 2003 suggests that approximately 50,000 beds are currently required, although the estimation of future arrival rates is very difficult due to uncertainties about the future direction of U.S. immigration policy.""",,,,,,,"""The dramatic increase in the arrivals of potential detainees since 2003 suggests that approximately 50,000 beds are currently required, although the estimation of future arrival rates is very difficult due to uncertainties about the future direction of U.S. immigration policy.""",1
"""We investigate two hypotheses regarding stimulus-based causes of preference uncertainty.""",,,,,,,"""We investigate two hypotheses regarding stimulus-based causes of preference uncertainty.""",1
"""We find that the adoption of CPOE systems significantly increases patient complexity reported by hospitals, corresponding to an estimate of $1 billion increase in Medicare reimbursements per year.""",,,,,,,"""We find that the adoption of CPOE systems significantly increases patient complexity reported by hospitals, corresponding to an estimate of $1 billion increase in Medicare reimbursements per year.""",1
"""Although the incentives for the United States and Russia to preempt increase, the incentives of the other countries decrease, with the combined effect over all coalitions of decreasing the incentive to preempt.""",,,,,,,"""Although the incentives for the United States and Russia to preempt increase, the incentives of the other countries decrease, with the combined effect over all coalitions of decreasing the incentive to preempt.""",1
"""Numerical evaluations of a range of price increases and times to the price increase suggest that, with certain important caveats, the average-cost formulae are likely to be acceptable for most practical situations for the infinite horizon situation.""",,,,,,,"""Numerical evaluations of a range of price increases and times to the price increase suggest that, with certain important caveats, the average-cost formulae are likely to be acceptable for most practical situations for the infinite horizon situation.""",1
"""Disclosure policy (which sets a protected period given to a vendor to release the patch for the vulnerability) indirectly affects the speed and quality of the patch that a vendor develops.""",,,,,,,"""Disclosure policy (which sets a protected period given to a vendor to release the patch for the vulnerability) indirectly affects the speed and quality of the patch that a vendor develops.""",1
"""Internet content increases adoption and can be changed more quickly; however, the magnitude of its impact, and therefore its effectiveness as a policy and strategy tool, has until now been unknown.""",,,,,,,"""Internet content increases adoption and can be changed more quickly; however, the magnitude of its impact, and therefore its effectiveness as a policy and strategy tool, has until now been unknown.""",1
"""In particular, we show that it is optimal to increase the density of distribution centers (DCs) when the shortage penalty cost increases, and to decrease the density of DCs when a certain unit transportation cost parameter increases.""",,,,,,,"""In particular, we show that it is optimal to increase the density of distribution centers (DCs) when the shortage penalty cost increases, and to decrease the density of DCs when a certain unit transportation cost parameter increases.""",1
"""The results suggest that both social learning and social utility are at work, and the attenuation in the recipient‚ôs purchase is mainly driven by a decrease in social learning resulting from credibility concerns.""",,,,,,,"""The results suggest that both social learning and social utility are at work, and the attenuation in the recipient‚ôs purchase is mainly driven by a decrease in social learning resulting from credibility concerns.""",1
"""The study used three different models to make ex ante forecasts of the U.S. air travel market from 1963 through 1968.These hypotheses imply that econometric methods are more accurate for long-range market forecasting than are the major alternatives, expert judgment and extrapolation, and that the relative superiority of econometric methods increases as the time span of the forecast increases.""",,,,,,,"""The study used three different models to make ex ante forecasts of the U.S. air travel market from 1963 through 1968.These hypotheses imply that econometric methods are more accurate for long-range market forecasting than are the major alternatives, expert judgment and extrapolation, and that the relative superiority of econometric methods increases as the time span of the forecast increases.""",1
"""To inform better labor decisions, this paper studies how workload affects banks‚ô operational risk event occurrence.""",,,,,,,"""To inform better labor decisions, this paper studies how workload affects banks‚ô operational risk event occurrence.""",1
"""This allows platforms to increase their ad intensity on those that do not use the ad blockers and achieve higher returns than in a world without ad blockers.""",,,,,,,"""This allows platforms to increase their ad intensity on those that do not use the ad blockers and achieve higher returns than in a world without ad blockers.""",1
"""The Effect of Information Technology‚ìEnabled Flexibility on Formation and Market Value of Alliances (p. 207)Ali Tafti, Sunil Mithas, M. S. KrishnanHow can information technology (IT) affect the likelihood of success of alliances and joint ventures?""",,,,,,,"""The Effect of Information Technology‚ìEnabled Flexibility on Formation and Market Value of Alliances (p. 207)Ali Tafti, Sunil Mithas, M. S. KrishnanHow can information technology (IT) affect the likelihood of success of alliances and joint ventures?""",1
"""I address potential endogeneity concerns by using instrumental variable analysis, and by showing that innovation increases significantly after new public debt offerings and seasoned equity offerings, but does not change after new bank loans.""",,,,,,,"""I address potential endogeneity concerns by using instrumental variable analysis, and by showing that innovation increases significantly after new public debt offerings and seasoned equity offerings, but does not change after new bank loans.""",1
"""I exploit a natural experiment, where different labels remove DRM from their entire catalogue of music at different times, to examine whether relaxing an album‚ôs sharing restrictions increases sales.""",,,,,,,"""I exploit a natural experiment, where different labels remove DRM from their entire catalogue of music at different times, to examine whether relaxing an album‚ôs sharing restrictions increases sales.""",1
"""While initially the ISP profit increases as more customers are drawn to the Internet, it eventually decreases as the spatial competition becomes more intense.""",,,,,,,"""While initially the ISP profit increases as more customers are drawn to the Internet, it eventually decreases as the spatial competition becomes more intense.""",1
"""However, although expected profit increases as logistics flexibility is positioned closer to the source of variability (i.e., downstream for demand variability and upstream for supply variability), locating process flexibility anywhere except at the stage with variability leads to the same decrease in expected profit.""",,,,,,,"""However, although expected profit increases as logistics flexibility is positioned closer to the source of variability (i.e., downstream for demand variability and upstream for supply variability), locating process flexibility anywhere except at the stage with variability leads to the same decrease in expected profit.""",1
"""Theoretically, we show that the value of a growth option increases in idiosyncratic volatility but its response to volatility of aggregate shocks can be either positive or negative depending on option moneyness.""",,,,,,,"""Theoretically, we show that the value of a growth option increases in idiosyncratic volatility but its response to volatility of aggregate shocks can be either positive or negative depending on option moneyness.""",1
"""It is shown that despite the increase in size of libraries, their standard of service is declining.""",,,,,,,"""It is shown that despite the increase in size of libraries, their standard of service is declining.""",1
"""The framework allows such initiatives to impact inventory management and revenue-enhancing measures that, in turn, increase manufacturer profit margins, or affect profit margins directly.""",,,,,,,"""The framework allows such initiatives to impact inventory management and revenue-enhancing measures that, in turn, increase manufacturer profit margins, or affect profit margins directly.""",1
"""Standard economic theories predict that channel efficiency increases with the introduction of the fixed fee and is invariant to its framing.""",,,,,,,"""Standard economic theories predict that channel efficiency increases with the introduction of the fixed fee and is invariant to its framing.""",1
"""Our difference-in-differences test reveals an increase in GC opinions following the ruling for near-insolvent Delaware firms.""",,,,,,,"""Our difference-in-differences test reveals an increase in GC opinions following the ruling for near-insolvent Delaware firms.""",1
"""More generally, altering customers‚ô tipping behavior will not itself adversely affect those customers‚ô subsequent satisfaction, repatronage, or spending, as long as the means used to alter tipping do not directly affect these other outcomes.""",,,,,,,"""More generally, altering customers‚ô tipping behavior will not itself adversely affect those customers‚ô subsequent satisfaction, repatronage, or spending, as long as the means used to alter tipping do not directly affect these other outcomes.""",1
"""In this paper, we use detailed data from an Indian software services firm to examine how such changes may affect the accumulation of experience within, and the performance of, teams.""",,,,,,,"""In this paper, we use detailed data from an Indian software services firm to examine how such changes may affect the accumulation of experience within, and the performance of, teams.""",1
"""Results indicate that, as salespeople get closer to reaching their quota, their effort increases regardless of the week, and their bargaining position weakens (i.e., they offer lower prices), but only in the final week of the month.""",,,,,,,"""Results indicate that, as salespeople get closer to reaching their quota, their effort increases regardless of the week, and their bargaining position weakens (i.e., they offer lower prices), but only in the final week of the month.""",1
"""Therefore, large banks, or those with greater reliance on wholesale funding, increase their wholesale funding more.""",,,,,,,"""Therefore, large banks, or those with greater reliance on wholesale funding, increase their wholesale funding more.""",1
"""We argue that a firm‚ôs resource endowment affects decision makers‚ô risk tolerance: Managers in firms with large stocks of resources are buffered from the threat of failure and conform to the prediction of greater risk taking in response to performance decreases; managers in firms with limited resources view low performance as a step closer to failure and decrease risk taking in response to performance decreases.""",,,,,,,"""We argue that a firm‚ôs resource endowment affects decision makers‚ô risk tolerance: Managers in firms with large stocks of resources are buffered from the threat of failure and conform to the prediction of greater risk taking in response to performance decreases; managers in firms with limited resources view low performance as a step closer to failure and decrease risk taking in response to performance decreases.""",1
"""In contrast, we find significant and persistent increases in physical activity for those assigned (oftentimes against their preference) to the same gain-loss incentives.""",,,,,,,"""In contrast, we find significant and persistent increases in physical activity for those assigned (oftentimes against their preference) to the same gain-loss incentives.""",1
"""This finding suggests that the interaction between disagreement and underreaction to earnings news affects asset prices.""",,,,,,,"""This finding suggests that the interaction between disagreement and underreaction to earnings news affects asset prices.""",1
"""Analyses of demutualizations that did not involve public listing of shares suggest that explanations based on wealth, liquidity, and tax-related incentives do not drive the results, and that the ownership of publicly listed shares was instrumental in generating the increase in conservative voting.""",,,,,,,"""Analyses of demutualizations that did not involve public listing of shares suggest that explanations based on wealth, liquidity, and tax-related incentives do not drive the results, and that the ownership of publicly listed shares was instrumental in generating the increase in conservative voting.""",1
"""This sufficient condition requires that the willingness of a customer to pay a premium for the product does not increase over time.""",,,,,,,"""This sufficient condition requires that the willingness of a customer to pay a premium for the product does not increase over time.""",1
"""We further find that liquidity clientele affects corporate bond prices‚îspecifically, liquidity premia are lower among corporate bonds heavily held by investors with weaker preference for liquidity.""",,,,,,,"""We further find that liquidity clientele affects corporate bond prices‚îspecifically, liquidity premia are lower among corporate bonds heavily held by investors with weaker preference for liquidity.""",1
"""Specifically, a conservative accounting regime may increase the likelihood of projects being discontinued, inducing some firms to exit from the product market and leaving rivals to capture their market share.""",,,,,,,"""Specifically, a conservative accounting regime may increase the likelihood of projects being discontinued, inducing some firms to exit from the product market and leaving rivals to capture their market share.""",1
"""Using this instrumental variable approach and controlling for operational, demographic, and patient condition-related characteristics, we find the following: on average, an extra minute during a focal home health visit is associated with a 1.39% decrease in the likelihood of readmision to the hospital following that visit.""",,,,,,,"""Using this instrumental variable approach and controlling for operational, demographic, and patient condition-related characteristics, we find the following: on average, an extra minute during a focal home health visit is associated with a 1.39% decrease in the likelihood of readmision to the hospital following that visit.""",1
"""In a repeat business context, past experiences with a service provider affect customers' decisions to renew their contract.""",,,,,,,"""In a repeat business context, past experiences with a service provider affect customers' decisions to renew their contract.""",1
"""The insight for management: Evaluate both what analysts say and what they may feel; investor sentiment may affect the earnings expectations of hard-to-value firms.""",,,,,,,"""The insight for management: Evaluate both what analysts say and what they may feel; investor sentiment may affect the earnings expectations of hard-to-value firms.""",1
"""Economies are achieved if these savings outweigh the increase in ordering costs.""",,,,,,,"""Economies are achieved if these savings outweigh the increase in ordering costs.""",1
"""The industry peers cut their capital spending, free cash flows, and cash holdings, and increase their leverage and payouts to shareholders.""",,,,,,,"""The industry peers cut their capital spending, free cash flows, and cash holdings, and increase their leverage and payouts to shareholders.""",1
"""Increases in organization size and external pressure also increase the likelihood of adoption.""",,,,,,,"""Increases in organization size and external pressure also increase the likelihood of adoption.""",1
"""These changes in behavior are not associated with short-run increases in customer profitability, but customers who adopt online banking have a lower propensity to leave the bank.""",,,,,,,"""These changes in behavior are not associated with short-run increases in customer profitability, but customers who adopt online banking have a lower propensity to leave the bank.""",1
"""Even if the inaccuracy is small, an inadequately calibrated prediction model may cause substantial losses.""",,,,,,,"""Even if the inaccuracy is small, an inadequately calibrated prediction model may cause substantial losses.""",1
"""The purpose of this paper is to provide a framework for integrating the various views and analyzing the various factors that affect centralization and decentralization.""",,,,,,,"""The purpose of this paper is to provide a framework for integrating the various views and analyzing the various factors that affect centralization and decentralization.""",1
"""The results suggest that ‚úhybrid‚ù (i.e., less hierarchical) governance institutions increase adaptation costs.""",,,,,,,"""The results suggest that ‚úhybrid‚ù (i.e., less hierarchical) governance institutions increase adaptation costs.""",1
"""We then derive the optimal insurance contracts to deal with the information asymmetry and show how the firm‚ôs characteristics affect the optimal contracts.""",,,,,,,"""We then derive the optimal insurance contracts to deal with the information asymmetry and show how the firm‚ôs characteristics affect the optimal contracts.""",1
"""While coupons increase profits on average, the effect on each firm‚ôs profits depends on the firm‚ôs characteristics.""",,,,,,,"""While coupons increase profits on average, the effect on each firm‚ôs profits depends on the firm‚ôs characteristics.""",1
"""Existing procedural justice studies to date offer only pieces of the picture on how procedural justice judgments affect behavior.""",,,,,,,"""Existing procedural justice studies to date offer only pieces of the picture on how procedural justice judgments affect behavior.""",1
"""Using recent chief financial officer surveys, we examine the sensitivity of investment plans to interest rate expectations and find that, for most firms, investment is extremely insensitive to interest rate decreases and only modestly more responsive to increases.""",,,,,,,"""Using recent chief financial officer surveys, we examine the sensitivity of investment plans to interest rate expectations and find that, for most firms, investment is extremely insensitive to interest rate decreases and only modestly more responsive to increases.""",1
"""This consumer characteristic largely drives the dynamics of search that can easily be mistaken as increases from experience at the individual level.""",,,,,,,"""This consumer characteristic largely drives the dynamics of search that can easily be mistaken as increases from experience at the individual level.""",1
