sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
survival	variable	survival	variable	True	 
in	O	in	variable	False	 
the	O	the	variable	False	 
Nigerian	O	Nigerian	variable	False	 
context	O	context	variable	False	 
.	O	.	O	True	 
Large	O	Large	O	True	 
households	O	households	O	True	 
are	O	are	O	True	 
the	O	the	O	True	 
ones	O	ones	O	True	 
who	O	who	O	True	 
benefit	O	benefit	O	True	 
the	O	the	O	True	 
most	O	most	O	True	 
from	O	from	O	True	 
this	O	this	O	True	 
		O			O	True	 
and	O	and	O	True	 
they	O	they	O	True	 
are	O	are	O	True	 
also	O	also	O	True	 
the	O	the	O	True	 
ones	O	ones	O	True	 
who	O	who	O	True	 
respond	O	respond	O	True	 
by	O	by	O	True	 
decreasing	O	decreasing	O	True	 
their	O	their	O	True	 
fertility	O	fertility	O	True	 
the	O	the	O	True	 
most	O	most	O	True	 
.	O	.	O	True	 
Conversely	O	Conversely	O	True	 
		O			O	True	 
small	O	small	O	True	 
households	O	households	O	True	 
only	O	only	O	True	 
slightly	O	slightly	O	True	 
benefit	O	benefit	O	True	 
from	O	from	O	True	 
a	O	a	O	True	 
decrease	O	decrease	O	True	 
in	O	in	O	True	 
child	O	child	O	True	 
mortality	O	mortality	O	True	 
and	O	and	O	True	 
they	O	they	O	True	 
continue	O	continue	O	True	 
to	O	to	O	True	 
increase	O	increase	O	True	 
their	O	their	O	True	 
birth	O	birth	O	True	 
rate	O	rate	O	True	 
.	O	.	O	True	 
For	O	For	O	True	 
a	O	a	O	True	 
household	O	household	O	True	 
with	O	with	O	True	 
the	O	the	O	True	 
average	O	average	O	True	 
number	O	number	O	True	 
of	O	of	O	True	 
three	O	three	O	True	 
children	O	children	O	True	 
		O			O	True	 
mortality	O	mortality	O	True	 
decreases	O	decreases	O	True	 
by	O	by	O	True	 
0.013	O	0.013	O	True	 
while	O	while	O	True	 
fertility	O	fertility	O	True	 
increases	O	increases	O	True	 
by	O	by	O	True	 
0.046	O	0.046	O	True	 
children	O	children	O	True	 
.	O	.	O	True	 
When	O	When	O	True	 
positive	O	positive	O	True	 
shocks	O	shocks	O	True	 
occur	O	occur	O	True	 
		O			O	True	 
households	O	households	O	True	 
get	O	get	O	True	 
on	O	on	O	True	 
average	O	average	O	True	 
larger	O	larger	O	True	 
		O			O	True	 
as	O	as	O	True	 
more	O	more	O	True	 
children	O	children	O	True	 
survive	O	survive	O	True	 
and	O	and	O	True	 
parents	O	parents	O	True	 
only	O	only	O	True	 
partially	O	partially	O	True	 
reduce	O	reduce	O	True	 
their	O	their	O	True	 
fertility	O	fertility	O	True	 
.	O	.	O	True	 
Consistent	O	Consistent	O	True	 
with	O	with	O	True	 
such	O	such	O	True	 
partial	O	partial	O	True	 
adjustment	O	adjustment	O	True	 
		O			O	True	 
household	O	household	O	True	 
food	O	food	O	True	 
security	O	security	O	True	 
and	O	and	O	True	 
children	O	children	O	True	 
's	O	's	O	True	 
anthropometric	O	anthropometric	O	True	 
measures	O	measures	O	True	 
deteriorate	O	deteriorate	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
matches	O	matches	O	True	 
the	O	the	O	True	 
predictions	O	predictions	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
theoretical	O	theoretical	O	True	 
framework	O	framework	O	True	 
		O			O	True	 
which	O	which	O	True	 
shows	O	shows	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
magnitude	O	magnitude	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
fertility	O	fertility	O	True	 
adjustment	O	adjustment	O	True	 
depends	O	depends	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
number	O	number	O	True	 
of	O	of	O	True	 
children	O	children	O	True	 
alive	O	alive	O	True	 
at	O	at	O	True	 
the	O	the	O	True	 
moment	O	moment	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
shock	O	shock	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
empirical	O	empirical	O	True	 
analysis	O	analysis	O	True	 
tests	O	tests	O	True	 
this	O	this	O	True	 
prediction	O	prediction	O	True	 
		O			O	True	 
by	O	by	O	True	 
using	O	using	O	True	 
the	O	the	O	True	 
gender	O	gender	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
first	O	first	O	True	 
-	O	-	O	True	 
born	O	born	O	True	 
as	O	as	O	True	 
instrument	O	instrument	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
initial	O	initial	O	True	 
number	O	number	O	True	 
of	O	of	O	True	 
children	O	children	O	True	 
.	O	.	O	True	 
